region,category,record_count,total_sales,total_profit,avg_discount
Central,Furniture,481,163797.16,-2871.05,0.3
Central,Office Supplies,1422,167026.42,8879.98,0.25
Central,Technology,420,170416.31,33697.43,0.13
East,Furniture,601,208291.2,3046.17,0.15
East,Office Supplies,1712,205516.06,41014.58,0.14
East,Technology,535,264973.98,47462.04,0.14
South,Furniture,332,117298.68,6771.21,0.12
South,Office Supplies,995,125651.31,19986.39,0.17
South,Technology,293,148771.91,19991.83,0.11
West,Furniture,707,252612.74,11504.95,0.13
West,Office Supplies,1897,220853.25,52609.85,0.09
West,Technology,599,251991.83,44303.65,0.13
